Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,11.33,11.71,11.23,11.66,28588700,10.619696
2003-04-15,11.53,11.75,11.46,11.54,33429700,10.510402
2003-04-16,11.76,11.95,11.56,11.58,41489400,10.546833
2003-04-17,11.55,12.01,11.46,12.0,35670800,10.929361
2003-04-21,11.98,12.19,11.8,11.84,29742500,10.783636
2017-04-06,44.529999,44.529999,44.139999,44.18,11557800,43.990471
2017-04-07,44.09,44.389999,43.990002,44.290001,13446600,44.1
2017-04-10,44.209999,44.450001,43.959999,44.0,11668600,44.0
2017-04-11,43.889999,44.450001,43.759998,44.169998,15404800,44.169998
2017-04-12,44.330002,44.41,44.029999,44.18,8429700,44.18
